         16209533 function calls (15578171 primitive calls) in 117.503 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
115021/58979    0.096    0.000    0.246    0.000 pprint.py:502(_safe_repr)
    92/90    0.007    0.000    0.243    0.003 registry.py:54(apply)
        1    0.000    0.000    0.240    0.240 FaceVideoDataModule.py:3166(__init__)
        1    0.000    0.000    0.240    0.240 FaceVideoDataModule.py:70(__init__)
        1    0.000    0.000    0.240    0.240 FaceDataModuleBase.py:59(__init__)
       36    0.000    0.000    0.240    0.007 __init__.py:77(is_available)
       62    0.240    0.004    0.240    0.004 {built-in method torch._C._cuda_getDeviceCount}
      134    0.000    0.000    0.236    0.002 codegen.py:719(add_linking_library)
10614/10405    0.008    0.000    0.234    0.000 manager.py:29(lookup)
9486/9472    0.005    0.000    0.233    0.000 manager.py:40(__getitem__)
    19468    0.021    0.000    0.229    0.000 functional.py:1446(relu)
    46/45    0.001    0.000    0.225    0.005 typed_passes.py:224(run_pass)
    25894    0.011    0.000    0.224    0.000 ir.py:350(list_vars)
    11766    0.188    0.000    0.224    0.000 weakref.py:382(__getitem__)
    21444    0.020    0.000    0.219    0.000 ffi.py:70(__enter__)
      978    0.017    0.000    0.212    0.000 utils.py:1526(assert_allclose)
     1956    0.120    0.000    0.212    0.000 utils.py:72(transform)
        1    0.000    0.000    0.208    0.208 obj_io.py:76(load_obj)
        9    0.001    0.000    0.208    0.023 npyimpl.py:335(numpy_ufunc_kernel)
        1    0.002    0.002    0.208    0.208 obj_io.py:547(_load_obj)
    24522    0.031    0.000    0.204    0.000 event.py:390(start_event)
      460    0.036    0.000    0.202    0.000 analysis.py:23(compute_use_defs)
    19420    0.201    0.000    0.201    0.000 {built-in method torch.relu_}
      364    0.002    0.000    0.195    0.001 typeinfer.py:699(__call__)
