         16235904 function calls (15604546 primitive calls) in 193.677 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.434    0.145 arrayobj.py:2225(array_ravel)
28070/27861    0.031    0.000    0.432    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      978    0.429    0.000    0.432    0.000 utils.py:206(_get_preds_fromhm)
        4    0.000    0.000    0.429    0.107 serialization.py:989(_load)
      978    0.087    0.000    0.423    0.000 _geometric.py:93(_umeyama)
     2640    0.009    0.000    0.419    0.000 functional.py:2407(batch_norm)
      978    0.002    0.000    0.419    0.000 <__array_function__ internals>:177(clip)
      978    0.003    0.000    0.411    0.000 fromnumeric.py:2111(clip)
      235    0.001    0.000    0.410    0.002 module.py:233(__repr__)
     2640    0.406    0.000    0.406    0.000 {built-in method torch.batch_norm}
      978    0.002    0.000    0.405    0.000 {method 'clip' of 'numpy.ndarray' objects}
     1873    0.004    0.000    0.404    0.000 serialization.py:1004(persistent_load)
      235    0.001    0.000    0.404    0.002 module.py:207(_get_body_lines)
      978    0.006    0.000    0.403    0.000 _methods.py:127(_clip)
      235    0.002    0.000    0.402    0.002 module.py:212(<listcomp>)
152234/76107    0.133    0.000    0.400    0.000 {method 'format' of 'str' objects}
      414    0.007    0.000    0.399    0.001 postproc.py:71(run)
     1873    0.382    0.000    0.398    0.000 serialization.py:994(load_tensor)
       48    0.001    0.000    0.397    0.008 resnet.py:117(__init__)
      152    0.002    0.000    0.394    0.003 arrayobj.py:96(shape)
     2130    0.003    0.000    0.394    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
   114/52    0.001    0.000    0.393    0.008 <frozen importlib._bootstrap>:650(_load_unlocked)
     2130    0.032    0.000    0.390    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
   113/52    0.000    0.000    0.390    0.008 <frozen importlib._bootstrap_external>:837(exec_module)
   180/54    0.000    0.000    0.390    0.007 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    12798    0.373    0.000    0.390    0.000 {built-in method numpy.array}
       39    0.000    0.000    0.388    0.010 imputils.py:148(res)
      712    0.001    0.000    0.387    0.001 values.py:1013(__str__)
       48    0.001    0.000    0.385    0.008 ResNet.py:87(__init__)
      712    0.001    0.000    0.385    0.001 values.py:1006(descr)
       16    0.001    0.000    0.383    0.024 DecaDecoder.py:60(forward)
      796    0.005    0.000    0.380    0.000 module.py:45(add_metadata)
      978    0.376    0.000    0.376    0.000 _methods.py:108(_clip_dep_invoke_with_casting)
    69/46    0.000    0.000    0.374    0.008 {built-in method builtins.__import__}
